time_s,phase,staged,stage1_firing,stage2_firing,stage1_fuel_used_kg,stage2_fuel_used_kg,mass_kg,cg_aft_nose_m,mrc_aft_nose_m,cg_from_mrc_body_x_m,ixx_kg_m2,iyy_kg_m2,izz_kg_m2,ixx_rate_kg_m2_s,iyy_rate_kg_m2_s,izz_rate_kg_m2_s
48,stack_coast,false,false,false,180000,0,134000,9.4216420000000003,16.918790000000001,7.497148000000001,150750,10886636.572139001,10886636.572139001,0,0,0
49,stack_coast,false,false,false,180000,0,134000,9.4216420000000003,16.918790000000001,7.497148000000001,150750,10886636.572139001,10886636.572139001,0,0,0
50,stack_coast,false,false,false,180000,0,134000,9.4216420000000003,16.918790000000001,7.497148000000001,150750,10886636.572139001,10886636.572139001,0,0,0
51,stack_coast,false,false,false,180000,0,134000,9.4216420000000003,16.918790000000001,7.497148000000001,150750,10886636.572139001,10886636.572139001,0,0,0
52,stack_coast,false,false,false,180000,0,134000,9.4216420000000003,16.918790000000001,7.497148000000001,150750,10886636.572139001,10886636.572139001,0,0,0
53,stack_coast,false,false,false,180000,0,134000,9.4216420000000003,16.918790000000001,7.497148000000001,150750,10886636.572139001,10886636.572139001,0,0,0
54,stack_coast,false,false,false,180000,0,134000,9.4216420000000003,16.918790000000001,7.497148000000001,150750,10886636.572139001,10886636.572139001,0,0,0
55,stack_coast,false,false,false,180000,0,134000,9.4216420000000003,16.918790000000001,7.497148000000001,150750,10886636.572139001,10886636.572139001,0,0,0
56,stack_coast,false,false,false,180000,0,134000,9.4216420000000003,16.918790000000001,7.497148000000001,150750,10886636.572139001,10886636.572139001,0,0,0
57,stack_coast,false,false,false,180000,0,134000,9.4216420000000003,16.918790000000001,7.497148000000001,150750,10886636.572139001,10886636.572139001,0,0,0
58,stack_coast,false,false,false,180000,0,134000,9.4216420000000003,16.918790000000001,7.497148000000001,150750,10886636.572139001,10886636.572139001,0,0,0
59,stack_coast,false,false,false,180000,0,134000,9.4216420000000003,16.918790000000001,7.497148000000001,150750,10886636.572139001,10886636.572139001,0,0,0
60,stack_coast,false,false,false,180000,0,134000,9.4216420000000003,16.918790000000001,7.497148000000001,150750,10886636.572139001,10886636.572139001,0,0,0
61,stack_coast,false,false,false,180000,0,134000,9.4216420000000003,16.918790000000001,7.497148000000001,150750,10886636.572139001,10886636.572139001,0,0,0
62,stack_coast,false,false,false,180000,0,134000,9.4216420000000003,16.918790000000001,7.497148000000001,150750,10886636.572139001,10886636.572139001,0,0,0
63,stack_coast,false,false,false,180000,0,134000,9.4216420000000003,16.918790000000001,7.497148000000001,150750,10886636.572139001,10886636.572139001,0,0,0
64,stack_coast,false,false,false,180000,0,134000,9.4216420000000003,16.918790000000001,7.497148000000001,150750,10886636.572139001,10886636.572139001,0,0,0
65,stack_coast,false,false,false,180000,0,134000,9.4216420000000003,16.918790000000001,7.497148000000001,150750,10886636.572139001,10886636.572139001,0,0,0
66,stack_coast,false,false,false,180000,0,134000,9.4216420000000003,16.918790000000001,7.497148000000001,150750,10886636.572139001,10886636.572139001,0,0,0
67,stack_coast,false,false,false,180000,0,134000,9.4216420000000003,16.918790000000001,7.497148000000001,150750,10886636.572139001,10886636.572139001,0,0,0
68,stack_coast,false,false,false,180000,0,134000,9.4216420000000003,16.918790000000001,7.497148000000001,150750,10886636.572139001,10886636.572139001,0,0,0
69,stack_coast,false,false,false,180000,0,134000,9.4216420000000003,16.918790000000001,7.497148000000001,150750,10886636.572139001,10886636.572139001,0,0,0
70,stack_coast,false,false,false,180000,0,134000,9.4216420000000003,16.918790000000001,7.497148000000001,150750,10886636.572139001,10886636.572139001,0,0,0
71,stack_coast,false,false,false,180000,0,134000,9.4216420000000003,16.918790000000001,7.497148000000001,150750,10886636.572139001,10886636.572139001,0,0,0
72,stack_coast,false,false,false,180000,0,134000,9.4216420000000003,16.918790000000001,7.497148000000001,150750,10886636.572139001,10886636.572139001,0,0,0
73,stack_coast,false,false,false,180000,0,134000,9.4216420000000003,16.918790000000001,7.497148000000001,150750,10886636.572139001,10886636.572139001,0,0,0
74,stack_coast,false,false,false,180000,0,134000,9.4216420000000003,16.918790000000001,7.497148000000001,150750,10886636.572139001,10886636.572139001,0,0,0
75,stack_coast,false,false,false,180000,0,134000,9.4216420000000003,16.918790000000001,7.497148000000001,150750,10886636.572139001,10886636.572139001,0,0,0
76,stack_coast,false,false,false,180000,0,134000,9.4216420000000003,16.918790000000001,7.497148000000001,150750,10886636.572139001,10886636.572139001,0,0,0
77,stack_coast,false,false,false,180000,0,134000,9.4216420000000003,16.918790000000001,7.497148000000001,150750,10886636.572139001,10886636.572139001,0,0,0
78,stack_coast,false,false,false,180000,0,134000,9.4216420000000003,16.918790000000001,7.497148000000001,150750,10886636.572139001,10886636.572139001,0,0,0
79,stack_coast,false,false,false,180000,0,134000,9.4216420000000003,16.918790000000001,7.497148000000001,150750,10886636.572139001,10886636.572139001,0,0,0
80,stack_coast,false,false,false,180000,0,134000,9.4216420000000003,16.918790000000001,7.497148000000001,150750,10886636.572139001,10886636.572139001,0,0,0
81,stack_coast,false,false,false,180000,0,134000,9.4216420000000003,16.918790000000001,7.497148000000001,150750,10886636.572139001,10886636.572139001,0,0,0
82,stack_coast,false,false,false,180000,0,134000,9.4216420000000003,16.918790000000001,7.497148000000001,150750,10886636.572139001,10886636.572139001,0,0,0
83,stack_coast,false,false,false,180000,0,134000,9.4216420000000003,16.918790000000001,7.497148000000001,150750,10886636.572139001,10886636.572139001,0,0,0
84,stack_coast,false,false,false,180000,0,134000,9.4216420000000003,16.918790000000001,7.497148000000001,150750,10886636.572139001,10886636.572139001,0,0,0
85,stack_coast,false,false,false,180000,0,134000,9.4216420000000003,16.918790000000001,7.497148000000001,150750,10886636.572139001,10886636.572139001,0,0,0
86,stack_coast,false,false,false,180000,0,134000,9.4216420000000003,16.918790000000001,7.497148000000001,150750,10886636.572139001,10886636.572139001,0,0,0
87,stack_coast,false,false,false,180000,0,134000,9.4216420000000003,16.918790000000001,7.497148000000001,150750,10886636.572139001,10886636.572139001,0,0,0
88,stack_coast,false,false,false,180000,0,134000,9.4216420000000003,16.918790000000001,7.497148000000001,150750,10886636.572139001,10886636.572139001,0,0,0
89,stack_coast,false,false,false,180000,0,134000,9.4216420000000003,16.918790000000001,7.497148000000001,150750,10886636.572139001,10886636.572139001,0,0,0
90,stack_coast,false,false,false,180000,0,134000,9.4216420000000003,16.918790000000001,7.497148000000001,150750,10886636.572139001,10886636.572139001,0,0,0
91,stack_coast,false,false,false,180000,0,134000,9.4216420000000003,16.918790000000001,7.497148000000001,150750,10886636.572139001,10886636.572139001,0,0,0
92,stack_coast,false,false,false,180000,0,134000,9.4216420000000003,16.918790000000001,7.497148000000001,150750,10886636.572139001,10886636.572139001,0,0,0
93,stack_coast,false,false,false,180000,0,134000,9.4216420000000003,16.918790000000001,7.497148000000001,150750,10886636.572139001,10886636.572139001,0,0,0
94,stack_coast,false,false,false,180000,0,134000,9.4216420000000003,16.918790000000001,7.497148000000001,150750,10886636.572139001,10886636.572139001,0,0,0
95,stack_coast,false,false,false,180000,0,134000,9.4216420000000003,16.918790000000001,7.497148000000001,150750,10886636.572139001,10886636.572139001,0,0,0
96,stack_coast,false,false,false,180000,0,134000,9.4216420000000003,16.918790000000001,7.497148000000001,150750,10886636.572139001,10886636.572139001,0,0,0
97,stack_coast,false,false,false,180000,0,134000,9.4216420000000003,16.918790000000001,7.497148000000001,150750,10886636.572139001,10886636.572139001,0,0,0
98,stack_coast,false,false,false,180000,0,134000,9.4216420000000003,16.918790000000001,7.497148000000001,150750,10886636.572139001,10886636.572139001,0,0,0
99,stack_coast,false,false,false,180000,0,134000,9.4216420000000003,16.918790000000001,7.497148000000001,150750,10886636.572139001,10886636.572139001,0,0,0
100,stack_coast,false,false,false,180000,0,134000,9.4216420000000003,16.918790000000001,7.497148000000001,150750,10886636.572139001,10886636.572139001,0,0,0
101,stack_coast,false,false,false,180000,0,134000,9.4216420000000003,16.918790000000001,7.497148000000001,150750,10886636.572139001,10886636.572139001,0,0,0
102,stack_coast,false,false,false,180000,0,134000,9.4216420000000003,16.918790000000001,7.497148000000001,150750,10886636.572139001,10886636.572139001,0,0,0
103,stack_coast,false,false,false,180000,0,134000,9.4216420000000003,16.918790000000001,7.497148000000001,150750,10886636.572139001,10886636.572139001,0,0,0
104,stack_coast,false,false,false,180000,0,134000,9.4216420000000003,16.918790000000001,7.497148000000001,150750,10886636.572139001,10886636.572139001,0,0,0
105,stack_coast,false,false,false,180000,0,134000,9.4216420000000003,16.918790000000001,7.497148000000001,150750,10886636.572139001,10886636.572139001,0,0,0
106,stack_coast,false,false,false,180000,0,134000,9.4216420000000003,16.918790000000001,7.497148000000001,150750,10886636.572139001,10886636.572139001,0,0,0
107,stack_coast,false,false,false,180000,0,134000,9.4216420000000003,16.918790000000001,7.497148000000001,150750,10886636.572139001,10886636.572139001,0,0,0
108,stack_coast,false,false,false,180000,0,134000,9.4216420000000003,16.918790000000001,7.497148000000001,150750,10886636.572139001,10886636.572139001,0,0,0
109,stack_coast,false,false,false,180000,0,134000,9.4216420000000003,16.918790000000001,7.497148000000001,150750,10886636.572139001,10886636.572139001,0,0,0
110,stack_coast,false,false,false,180000,0,134000,9.4216420000000003,16.918790000000001,7.497148000000001,150750,10886636.572139001,10886636.572139001,0,0,0
111,stack_coast,false,false,false,180000,0,134000,9.4216420000000003,16.918790000000001,7.497148000000001,150750,10886636.572139001,10886636.572139001,0,0,0
112,stack_coast,false,false,false,180000,0,134000,9.4216420000000003,16.918790000000001,7.497148000000001,150750,10886636.572139001,10886636.572139001,0,0,0
